,noaki,aki,p,pstr
Age,63.0 [51.0-74.0],66.9 [55.2-76.0],1.2585286050780686e-33,1.3e-33
Heart Rate,83.0 [73.4-93.2],84.9 [76.3-94.1],7.385526280886023e-17,7.4e-17
Systolic BP,121.5 [110.6-134.8],118.9 [108.6-132.8],3.44891945986341e-12,3.4e-12
Mean Arterial Pressure,81.1 [73.9-90.2],77.8 [71.2-87.2],6.082017012144536e-45,6.1e-45
Respiratory Rate,18.1 [16.4-20.2],18.6 [16.5-21.0],2.3311421254807838e-15,2.3e-15
SpO2,97.4 [96.2-98.5],97.4 [96.1-98.4],0.03809808559834166,0.038
Temperature,36.8 [36.5-37.2],36.9 [36.5-37.2],0.002382232826332146,0.002
BUN,15.7 [11.0-23.3],28.4 [18.7-43.0],0.0,0.0e+00
Baseline Creatinine,0.9 [0.7-1.2],1.4 [0.9-2.8],0.0,0.0e+00
Lactate,1.6 [1.2-2.4],1.9 [1.4-3.0],5.470536050663305e-41,5.5e-41
WBC,10.1 [7.5-13.1],11.2 [8.3-14.6],3.342572185078745e-44,3.3e-44
Platelets,194.3 [145.0-254.7],163.0 [119.3-220.0],2.2277328170393787e-100,2.2e-100
Hemoglobin,10.6 [9.4-12.0],10.0 [9.1-11.1],4.644546684821223e-88,4.6e-88
Glucose,124.0 [107.7-144.6],128.9 [113.3-150.0],8.495477341339407e-24,8.5e-24
ICU LOS (hours),39.0 [24.0-47.0],46.0 [40.0-54.0],0.0,0.0e+00
Male (%),55.7,60.4,2.037231015654525e-08,2.0e-08
Sepsis (%),6.3,14.7,6.356412314484659e-85,6.4e-85
